email_id,subject,body,sender,sender_domain,num_urls,num_exclaim,has_html,label
EM00016,Verify your Amazon account now,"Dear user, as part of a routine security review your Amazon account access has been temporarily limited. Please confirm your details here to restore full access: http://microsoft-office365-verify.com/bwvf8gua We appreciate your prompt attention to this matter.",noreply@microsoft-office365-verify.com,microsoft-office365-verify.com,3,0,1,1
EM00017,You have a new message from Steam,"Dear user, as part of a routine security review your Steam account access has been temporarily limited. Please confirm your details here to restore full access: http://update-billing-info.org/7orfqla We appreciate your prompt attention to this matter.",alert@update-billing-info.org,update-billing-info.org,2,0,1,1
EM00018,Re: Unusual activity detected - FedEx,"Dear Customer, We detected unusual sign-in activity on your account. Click here to verify your account: http://hdfc-netbanking-secure.in/psaldnj7v Failure to respond within 24 hours will result in permanent suspension of your FedEx account. Regards, FedEx Security Team",service@hdfc-netbanking-secure.in,hdfc-netbanking-secure.in,3,0,1,1
EM00019,Welcome to the office move,"Hi, quick reminder that your password for the internal portal expires in 3 days. You can update it any time from Settings > Security once you are logged in. IT Helpdesk",alex@dropbox.com,dropbox.com,0,0,0,0
EM00020,Weekly newsletter: product launch,"Hi all, here is this week's newsletter covering product launch and other updates from around the company. Feel free to reply with feedback. Cheers, Neha",neha@university.edu,university.edu,0,0,1,0
EM00021,IRS Security Alert,"Hello, we noticed a problem with your last order. Your subscription has expired - renew immediately. Log in to secure your account: http://netfIix-account.com/ju31fi0n6dg Sincerely, IRS Customer Service",support@netfIix-account.com,netfIix-account.com,3,0,1,1
EM00022,Microsoft 365 Security Alert,"ALERT! Your account will be suspended within 24 hours. To avoid disruption, please claim your reward before it expires by clicking the secure link below: http://amaz0n-security.info/jy2nz7v This link will expire soon. Microsoft 365 Support",service@amaz0n-security.info,amaz0n-security.info,1,1,1,1
EM00023,Reminder: the annual conference tomorrow,"Dear colleague, thank you for your email regarding the annual conference. I have reviewed the details and will follow up with next steps by end of week. Regards, Jordan",jordan@yourbank.com,yourbank.com,0,0,1,0
EM00024,Welcome to the client call,"Hello, please find attached the invoice #9690 for the client call. Payment is due within 30 days per our standard terms. Let me know if you have any questions. Best, Neha",neha@client-firm.com,client-firm.com,0,0,1,0
EM00025,Quarterly report - engineering sync,"Hello, action needed: please confirm your availability for engineering sync by end of day so we can finalize the schedule. Reply directly to this email. Thanks, Neha",neha@client-firm.com,client-firm.com,0,0,0,0
EM00026,URGENT: Action required on your Apple ID account,Congratulations! You have been selected to receive a reward from Apple ID. Review the suspicious activity report: http://bankofamerica-alert.co/q7nc85e4e9oe Offer valid for 24 hours only. Do not share this email.,security@bankofamerica-alert.co,bankofamerica-alert.co,2,1,1,1
EM00027,Schedule change for expense report,"Hi, this is urgent - please review and approve the expense report document today, our deadline moved up. You can find it in the shared drive. Thanks for the quick turnaround, Sam",sam@yourbank.com,yourbank.com,0,0,1,0
EM00028,Invoice #4443 for expense report,"Hi team, sharing notes from today's discussion on expense report. Please review the attached document and add your comments by Friday. Thanks, Daniel",daniel@company.com,company.com,1,0,0,0
EM00029,Team meeting notes - the office move,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",alex@gmail.com,gmail.com,0,0,0,0
EM00030,Re: Unusual activity detected - HDFC Bank,"Hello, our records show your HDFC Bank account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://amaz0n-security.info/hbbjcdi Thank you, HDFC Bank Accounts Team",account-team@amaz0n-security.info,amaz0n-security.info,2,0,1,1
EM00031,IRS Security Alert,This is an automated message from IRS. Security alert: someone tried to log in from a new device. Please review the suspicious activity report using the link provided: http://irs-taxrefund-gov.com/6l91f4x2bfib to prevent loss of access to your account and data.,account-team@irs-taxrefund-gov.com,irs-taxrefund-gov.com,2,0,1,1
EM00032,Your system maintenance order confirmation,"Hi all, here is this week's newsletter covering system maintenance and other updates from around the company. Feel free to reply with feedback. Cheers, Priya",priya@notion.so,notion.so,0,0,0,0
EM00033,Your Netflix account has been limited,"Dear User, our records show your payment method has failed. We detected unusual sign-in activity on your account. Claim your reward before it expires: http://microsoft-office365-verify.com/xkk2abkvblpxaj You must act now to avoid additional fees.",alert@microsoft-office365-verify.com,microsoft-office365-verify.com,3,0,0,1
EM00034,Project update - holiday schedule,"Hi, quick reminder that your password for the internal portal expires in 3 days. You can update it any time from Settings > Security once you are logged in. IT Helpdesk",jordan@github.com,github.com,0,0,1,0
EM00035,Verify your Instagram account now,"Hello, our records show your Instagram account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://paypa1-alerts.net/56waffto Thank you, Instagram Accounts Team",support@paypa1-alerts.net,paypa1-alerts.net,1,0,1,1
EM00036,URGENT: Action required on your Instagram account,"Hi, I am following up on the invoice we discussed. Could you please review and process payment through the link below at your earliest convenience: http://appleid-support-team.com/ba9in2xr Let me know if you have any questions. Regards, Instagram Billing",security@appleid-support-team.com,appleid-support-team.com,2,0,0,1
EM00037,Verify your LinkedIn account now,"ALERT! Your package could not be delivered - confirm your address. To avoid disruption, please claim your reward before it expires by clicking the secure link below: http://secure-verify-account.com/0ubmc9 This link will expire soon. LinkedIn Support",security@secure-verify-account.com,secure-verify-account.com,2,1,1,1
EM00038,Re: code review feedback,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",wei@client-firm.com,client-firm.com,0,0,1,0
EM00039,Schedule change for expense report,"Hello, please find attached the invoice #9020 for expense report. Payment is due within 30 days per our standard terms. Let me know if you have any questions. Best, Alex",alex@hr.company.com,hr.company.com,1,0,0,0
EM00040,Re: the design review feedback,"Hello, action needed: please confirm your availability for the design review by end of day so we can finalize the schedule. Reply directly to this email. Thanks, Chris",chris@office.com,office.com,0,0,0,0
EM00041,You have a new message from Google Workspace,"Hello, our records show your Google Workspace account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://steam-community-gift.ru/x8yx7wr2li Thank you, Google Workspace Accounts Team",security@steam-community-gift.ru,steam-community-gift.ru,3,0,1,1
EM00042,Verify your Netflix account now,"ALERT! Unauthorized access attempt blocked - verify your identity. To avoid disruption, please update your billing information by clicking the secure link below: http://microsoft-office365-verify.com/z6tpbwsxx This link will expire soon. Netflix Support",account-team@microsoft-office365-verify.com,microsoft-office365-verify.com,2,1,1,1
EM00043,Quarterly report - the annual conference,"Hi, your order has been confirmed and will ship within 2 business days. You can track the shipment from your account dashboard. Thank you for your business.",jordan@notion.so,notion.so,0,0,0,0
EM00044,Invoice #5358 for the hiring panel,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",neha@github.com,github.com,1,0,0,0
EM00045,Invoice #3627 for Q3 roadmap,"Hello, action needed: please confirm your availability for Q3 roadmap by end of day so we can finalize the schedule. Reply directly to this email. Thanks, Neha",neha@notion.so,notion.so,0,0,0,0
EM00046,Team meeting notes - system maintenance,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",daniel@slack.com,slack.com,1,0,0,0
EM00047,Re: budget planning feedback,"Dear colleague, thank you for your email regarding budget planning. I have reviewed the details and will follow up with next steps by end of week. Regards, Chris",chris@university.edu,university.edu,0,0,0,0
EM00048,You have a new message from DHL Express,"Dear user, as part of a routine security review your DHL Express account access has been temporarily limited. Please confirm your details here to restore full access: http://insta-help-center.com/s9ehwhg We appreciate your prompt attention to this matter.",alert@insta-help-center.com,insta-help-center.com,1,0,1,1
EM00049,Invoice #1277 for the client call,"Hi team, sharing notes from today's discussion on the client call. Please review the attached document and add your comments by Friday. Thanks, Daniel",daniel@outlook.com,outlook.com,0,0,1,0
EM00050,Reminder: code review tomorrow,"Hello, action needed: please confirm your availability for code review by end of day so we can finalize the schedule. Reply directly to this email. Thanks, Jordan",jordan@zoom.us,zoom.us,0,0,0,0
EM00051,Re: Unusual activity detected - Instagram,"Hello, we noticed a problem with your last order. Security alert: someone tried to log in from a new device. Claim your reward before it expires: http://hdfc-netbanking-secure.in/45gdej31 Sincerely, Instagram Customer Service",service@hdfc-netbanking-secure.in,hdfc-netbanking-secure.in,3,0,0,1
EM00052,Re: onsite training feedback,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",wei@hr.company.com,hr.company.com,0,0,0,0
EM00053,You have a new message from Apple ID,"Dear user, as part of a routine security review your Apple ID account access has been temporarily limited. Please confirm your details here to restore full access: http://appleid-support-team.com/yqlg0k1irbs We appreciate your prompt attention to this matter.",alert@appleid-support-team.com,appleid-support-team.com,2,0,1,0
EM00054,URGENT: Action required on your IRS account,"Dear user, as part of a routine security review your IRS account access has been temporarily limited. Please confirm your details here to restore full access: http://irs-taxrefund-gov.com/60xng2ig We appreciate your prompt attention to this matter.",service@irs-taxrefund-gov.com,irs-taxrefund-gov.com,1,0,0,1
EM00055,URGENT: Action required on your Steam account,"Hello, we noticed a problem with your last order. This is your final notice before deactivation. Claim your reward before it expires: http://hdfc-netbanking-secure.in/srd9q46nouh Sincerely, Steam Customer Service",service@hdfc-netbanking-secure.in,hdfc-netbanking-secure.in,3,0,1,1
EM00056,Your HDFC Bank account has been limited,"Dear user, as part of a routine security review your HDFC Bank account access has been temporarily limited. Please confirm your details here to restore full access: http://irs-taxrefund-gov.com/punwcgbsvk3x We appreciate your prompt attention to this matter.",noreply@irs-taxrefund-gov.com,irs-taxrefund-gov.com,1,0,0,1
EM00057,Re: Unusual activity detected - FedEx,"Dear user, as part of a routine security review your FedEx account access has been temporarily limited. Please confirm your details here to restore full access: http://paypa1-alerts.net/9j2qp8 We appreciate your prompt attention to this matter.",account-team@paypa1-alerts.net,paypa1-alerts.net,2,0,0,1
EM00058,Netflix Security Alert,"ALERT! Unauthorized access attempt blocked - verify your identity. To avoid disruption, please update your billing information by clicking the secure link below: http://microsoft-office365-verify.com/xhg403njb This link will expire soon. Netflix Support",account-team@microsoft-office365-verify.com,microsoft-office365-verify.com,1,1,0,1
EM00059,Your engineering sync order confirmation,"Hi, just a friendly reminder that engineering sync is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Alex",alex@slack.com,slack.com,0,0,0,0
EM00060,Team meeting notes - Q3 roadmap,"Hi, this is urgent - please review and approve the Q3 roadmap document today, our deadline moved up. You can find it in the shared drive. Thanks for the quick turnaround, Maria",maria@hr.company.com,hr.company.com,1,0,0,0
EM00061,Team meeting notes - the annual conference,"Hello, action needed: please confirm your availability for the annual conference by end of day so we can finalize the schedule. Reply directly to this email. Thanks, Priya",priya@company.com,company.com,0,0,0,0
EM00062,Chase Bank Security Alert,"ALERT! Your refund of $850.00 is pending your confirmation. To avoid disruption, please update your billing information by clicking the secure link below: http://secure-verify-account.com/eyuhz1gv0 This link will expire soon. Chase Bank Support",service@secure-verify-account.com,secure-verify-account.com,1,1,0,1
EM00063,Your Netflix account has been limited,Congratulations! You have been selected to receive a reward from Netflix. Log in to secure your account: http://wellsfargo-alert-team.co/ouu9sijpyueon Offer valid for 24 hours only. Do not share this email.,service@wellsfargo-alert-team.co,wellsfargo-alert-team.co,3,1,0,1
EM00064,Project update - engineering sync,"Hi all, here is this week's newsletter covering engineering sync and other updates from around the company. Feel free to reply with feedback. Cheers, Fatima",fatima@gmail.com,gmail.com,0,0,0,0
EM00065,Verify your Amazon account now,"Dear user, as part of a routine security review your Amazon account access has been temporarily limited. Please confirm your details here to restore full access: http://steam-community-gift.ru/6ugvs8q349dxb We appreciate your prompt attention to this matter.",noreply@steam-community-gift.ru,steam-community-gift.ru,3,0,0,1
EM00066,Quarterly report - the design review,"Hello, action needed: please confirm your availability for the design review by end of day so we can finalize the schedule. Reply directly to this email. Thanks, Sam",sam@atlassian.net,atlassian.net,0,0,0,0
EM00067,Schedule change for product launch,"Hi, quick reminder that your password for the internal portal expires in 3 days. You can update it any time from Settings > Security once you are logged in. IT Helpdesk",priya@office.com,office.com,0,0,0,0
EM00068,Project update - budget planning,"Hi, this is urgent - please review and approve the budget planning document today, our deadline moved up. You can find it in the shared drive. Thanks for the quick turnaround, Alex",alex@dropbox.com,dropbox.com,0,0,0,0
EM00069,Re: the design review feedback,"Hi, your order has been confirmed and will ship within 2 business days. You can track the shipment from your account dashboard. Thank you for your business.",sam@atlassian.net,atlassian.net,0,0,1,0
EM00070,Re: Unusual activity detected - Microsoft 365,"Hello, we noticed a problem with your last order. Your subscription has expired - renew immediately. Confirm your identity now: http://paypa1-alerts.net/bkadevvhyb Sincerely, Microsoft 365 Customer Service",service@paypa1-alerts.net,paypa1-alerts.net,3,0,1,1
EM00071,Microsoft 365 Security Alert,"Hi, I am following up on the invoice we discussed. Could you please review and process payment through the link below at your earliest convenience: http://chase-verify-now.com/h75lxo6 Let me know if you have any questions. Regards, Microsoft 365 Billing",service@chase-verify-now.com,chase-verify-now.com,1,0,0,1
EM00072,You have a new message from Steam,"Hi, I am following up on the invoice we discussed. Could you please review and process payment through the link below at your earliest convenience: http://hdfc-netbanking-secure.in/dog8cfeffh8ao Let me know if you have any questions. Regards, Steam Billing",support@hdfc-netbanking-secure.in,hdfc-netbanking-secure.in,2,0,1,1
EM00073,You have a new message from Bank of America,"Hello, our records show your Bank of America account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://netfIix-account.com/nuxf1x889 Thank you, Bank of America Accounts Team",alert@netfIix-account.com,netfIix-account.com,3,0,1,1
EM00074,Welcome to product launch,"Dear colleague, thank you for your email regarding product launch. I have reviewed the details and will follow up with next steps by end of week. Regards, Chris",chris@yourbank.com,yourbank.com,1,0,1,0
EM00075,Re: the client call feedback,"Hi, your order has been confirmed and will ship within 2 business days. You can track the shipment from your account dashboard. Thank you for your business.",jordan@university.edu,university.edu,1,0,0,0
EM00076,Reminder: product launch tomorrow,"Hi, just a friendly reminder that product launch is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Daniel",daniel@github.com,github.com,0,0,1,0
EM00077,You have a new message from Amazon,"Hi, I am following up on the invoice we discussed. Could you please review and process payment through the link below at your earliest convenience: http://steam-community-gift.ru/0pesgbm65 Let me know if you have any questions. Regards, Amazon Billing",service@steam-community-gift.ru,steam-community-gift.ru,3,0,1,1
EM00078,Re: onsite training feedback,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",priya@university.edu,university.edu,0,0,0,0
EM00079,Your Steam account has been limited,"Hello, our records show your Steam account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://irs-taxrefund-gov.com/x2ezc7fov2yg Thank you, Steam Accounts Team",alert@irs-taxrefund-gov.com,irs-taxrefund-gov.com,1,0,0,1
EM00080,Verify your Bank of America account now,"ALERT! Unauthorized access attempt blocked - verify your identity. To avoid disruption, please reset your password immediately by clicking the secure link below: http://update-billing-info.org/hie9ede1zubl This link will expire soon. Bank of America Support",service@update-billing-info.org,update-billing-info.org,2,1,1,1
EM00081,Reminder: the annual conference tomorrow,"Hi all, here is this week's newsletter covering the annual conference and other updates from around the company. Feel free to reply with feedback. Cheers, Priya",priya@zoom.us,zoom.us,0,0,0,1
EM00082,Welcome to the office move,"Hi, this is urgent - please review and approve the the office move document today, our deadline moved up. You can find it in the shared drive. Thanks for the quick turnaround, Priya",priya@client-firm.com,client-firm.com,0,0,0,0
EM00083,Weekly newsletter: engineering sync,"Hi team, sharing notes from today's discussion on engineering sync. Please review the attached document and add your comments by Friday. Thanks, Maria",maria@yourbank.com,yourbank.com,1,0,0,0
EM00084,Verify your DHL Express account now,"Hello, we noticed a problem with your last order. Your payment could not be processed - update details now. Reset your password immediately: http://amaz0n-security.info/nhqr6f7qn Sincerely, DHL Express Customer Service",account-team@amaz0n-security.info,amaz0n-security.info,1,0,1,1
EM00085,Re: Unusual activity detected - Instagram,"Hello, our records show your Instagram account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://insta-help-center.com/tiuymo0pqclp Thank you, Instagram Accounts Team",account-team@insta-help-center.com,insta-help-center.com,2,0,1,1
EM00086,Schedule change for product launch,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",wei@notion.so,notion.so,0,0,0,0
EM00087,Verify your IRS account now,"Dear user, as part of a routine security review your IRS account access has been temporarily limited. Please confirm your details here to restore full access: http://secure-verify-account.com/ixdu1emmx3y We appreciate your prompt attention to this matter.",account-team@secure-verify-account.com,secure-verify-account.com,1,0,0,1
EM00088,Re: expense report feedback,"Hi, just a friendly reminder that expense report is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Jordan",jordan@github.com,github.com,1,0,0,1
EM00089,Verify your Amazon account now,"Hello, we noticed a problem with your last order. Your account will be suspended within 24 hours. Click here to verify your account: http://appleid-support-team.com/1hbj6txfo6v4 Sincerely, Amazon Customer Service",alert@appleid-support-team.com,appleid-support-team.com,3,0,0,1
EM00090,Re: Unusual activity detected - Steam,"Hello, we noticed a problem with your last order. Your refund of $850.00 is pending your confirmation. Confirm your identity now: http://insta-help-center.com/xyasvdazv46 Sincerely, Steam Customer Service",alert@insta-help-center.com,insta-help-center.com,2,0,1,1
EM00091,Schedule change for holiday schedule,"Hi, quick reminder that your password for the internal portal expires in 3 days. You can update it any time from Settings > Security once you are logged in. IT Helpdesk",maria@client-firm.com,client-firm.com,0,0,0,0
EM00092,Verify your PayPal account now,This is an automated message from PayPal. Immediate action required to avoid permanent closure. Please track your package here using the link provided: http://appleid-support-team.com/82c06xq9 to prevent loss of access to your account and data.,security@appleid-support-team.com,appleid-support-team.com,1,0,0,1
EM00093,Apple ID Security Alert,"Hello, we noticed a problem with your last order. Immediate action required to avoid permanent closure. Confirm your identity now: http://amaz0n-security.info/wdz09wftbgm55 Sincerely, Apple ID Customer Service",support@amaz0n-security.info,amaz0n-security.info,3,0,0,1
EM00094,Instagram Security Alert,"Hello, we noticed a problem with your last order. Your subscription has expired - renew immediately. Review the suspicious activity report: http://wellsfargo-alert-team.co/8j5ecruy Sincerely, Instagram Customer Service",alert@wellsfargo-alert-team.co,wellsfargo-alert-team.co,2,0,0,1
EM00095,Schedule change for onsite training,"Hi, quick reminder that your password for the internal portal expires in 3 days. You can update it any time from Settings > Security once you are logged in. IT Helpdesk",priya@gmail.com,gmail.com,0,0,0,0
EM00096,Weekly newsletter: the annual conference,"Hi all, here is this week's newsletter covering the annual conference and other updates from around the company. Feel free to reply with feedback. Cheers, Priya",priya@dropbox.com,dropbox.com,1,0,1,0
EM00097,Invoice #3613 for the annual conference,"Hi team, sharing notes from today's discussion on the annual conference. Please review the attached document and add your comments by Friday. Thanks, Fatima",fatima@atlassian.net,atlassian.net,0,0,0,0
EM00098,Reminder: the office move tomorrow,"Hello, please find attached the invoice #6106 for the office move. Payment is due within 30 days per our standard terms. Let me know if you have any questions. Best, Priya",priya@dropbox.com,dropbox.com,0,0,1,0
EM00099,Reminder: the client call tomorrow,"Hi team, sharing notes from today's discussion on the client call. Please review the attached document and add your comments by Friday. Thanks, Alex",alex@company.com,company.com,0,0,0,0
EM00100,Your Wells Fargo account has been limited,"Hello, our records show your Wells Fargo account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://irs-taxrefund-gov.com/e7ckw5ngcx1945 Thank you, Wells Fargo Accounts Team",noreply@irs-taxrefund-gov.com,irs-taxrefund-gov.com,3,0,1,1
EM00101,Quarterly report - budget planning,"Hello, action needed: please confirm your availability for budget planning by end of day so we can finalize the schedule. Reply directly to this email. Thanks, Sam",sam@university.edu,university.edu,0,0,1,0
EM00102,Your Chase Bank account has been limited,"Hello, our records show your Chase Bank account requires re-verification following a recent policy update. Please complete this step at your convenience to keep your account in good standing: http://secure-verify-account.com/ooo0nl9c59e7f Thank you, Chase Bank Accounts Team",account-team@secure-verify-account.com,secure-verify-account.com,2,0,1,1
EM00103,Weekly newsletter: the office move,"Hi, your order has been confirmed and will ship within 2 business days. You can track the shipment from your account dashboard. Thank you for your business.",chris@github.com,github.com,0,0,1,0
EM00104,Google Workspace Security Alert,This is an automated message from Google Workspace. Your payment could not be processed - update details now. Please reset your password immediately using the link provided: http://dhl-tracking-parcel.xyz/4e05qmktgv to prevent loss of access to your account and data.,alert@dhl-tracking-parcel.xyz,dhl-tracking-parcel.xyz,1,0,1,1
EM00105,Your HDFC Bank account has been limited,"Hi, I am following up on the invoice we discussed. Could you please review and process payment through the link below at your earliest convenience: http://netfIix-account.com/55dmcxxb Let me know if you have any questions. Regards, HDFC Bank Billing",account-team@netfIix-account.com,netfIix-account.com,3,0,0,1
EM00106,URGENT: Action required on your Amazon account,Congratulations! You have been selected to receive a reward from Amazon. Update your billing information: http://steam-community-gift.ru/l3xfulhzq Offer valid for 24 hours only. Do not share this email.,support@steam-community-gift.ru,steam-community-gift.ru,2,1,0,1
EM00107,Invoice #2874 for expense report,"Hi, just a friendly reminder that expense report is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Jordan",jordan@gmail.com,gmail.com,1,0,0,0
EM00108,Welcome to onsite training,"Hi, just a friendly reminder that onsite training is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Neha",neha@hr.company.com,hr.company.com,0,0,0,0
EM00109,You have a new message from Bank of America,"Hi, I am following up on the invoice we discussed. Could you please review and process payment through the link below at your earliest convenience: http://irs-taxrefund-gov.com/e4h3gm1bw Let me know if you have any questions. Regards, Bank of America Billing",security@irs-taxrefund-gov.com,irs-taxrefund-gov.com,2,0,1,1
EM00110,You have a new message from FedEx,Congratulations! You have been selected to receive a reward from FedEx. Click here to verify your account: http://netfIix-account.com/7t0uum3 Offer valid for 24 hours only. Do not share this email.,support@netfIix-account.com,netfIix-account.com,2,1,1,1
EM00111,Re: Unusual activity detected - FedEx,"Dear User, our records show your payment method has failed. Your payment could not be processed - update details now. Claim your reward before it expires: http://amaz0n-security.info/h2mkv0dszrk6i You must act now to avoid additional fees.",security@amaz0n-security.info,amaz0n-security.info,1,0,0,1
EM00112,You have a new message from Chase Bank,This is an automated message from Chase Bank. Your subscription has expired - renew immediately. Please review the suspicious activity report using the link provided: http://update-billing-info.org/2jc2r07lp7df to prevent loss of access to your account and data.,security@update-billing-info.org,update-billing-info.org,2,0,1,1
EM00113,Reminder: onsite training tomorrow,"Hi, your order has been confirmed and will ship within 2 business days. You can track the shipment from your account dashboard. Thank you for your business.",daniel@client-firm.com,client-firm.com,1,0,0,0
EM00114,Welcome to system maintenance,"Dear colleague, thank you for your email regarding system maintenance. I have reviewed the details and will follow up with next steps by end of week. Regards, Chris",chris@notion.so,notion.so,0,0,1,0
EM00115,HDFC Bank Security Alert,"Dear user, as part of a routine security review your HDFC Bank account access has been temporarily limited. Please confirm your details here to restore full access: http://wellsfargo-alert-team.co/i2clp81l We appreciate your prompt attention to this matter.",support@wellsfargo-alert-team.co,wellsfargo-alert-team.co,2,0,1,1
EM00116,Project update - the design review,"Hi all, here is this week's newsletter covering the design review and other updates from around the company. Feel free to reply with feedback. Cheers, Chris",chris@outlook.com,outlook.com,0,0,1,0
EM00117,Re: Unusual activity detected - HDFC Bank,This is an automated message from HDFC Bank. Your payment could not be processed - update details now. Please reset your password immediately using the link provided: http://chase-verify-now.com/jsyt5wsgrx37 to prevent loss of access to your account and data.,alert@chase-verify-now.com,chase-verify-now.com,3,0,1,1
EM00118,Re: the marketing campaign feedback,"Hi, quick reminder that your password for the internal portal expires in 3 days. You can update it any time from Settings > Security once you are logged in. IT Helpdesk",wei@gmail.com,gmail.com,0,0,0,0
EM00119,Schedule change for onsite training,"Hi, just a friendly reminder that onsite training is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Priya",priya@company.com,company.com,0,0,0,0
EM00120,Your Google Workspace account has been limited,"Dear user, as part of a routine security review your Google Workspace account access has been temporarily limited. Please confirm your details here to restore full access: http://bankofamerica-alert.co/xsrqkrs We appreciate your prompt attention to this matter.",alert@bankofamerica-alert.co,bankofamerica-alert.co,3,0,0,1
